Time;MoteID;State;Value;TotalTicks;Permil
240599000;12;CPU;4129600;  60000000 ;68
240599000;12;LPM;55870400;  60000000 ;931
240599000;12;Deep LPM;0;  60000000 ;0
240599000;12;Radio Tx;1940336;  60000000 ;32
240599000;12;Radio Rx;57909664;  60000000 ;965
240599000;12;Radio total;59850000;  60000000 ;997
240871000;6;CPU;636736;  60000000 ;10
240871000;6;LPM;59363264;  60000000 ;989
240871000;6;Deep LPM;0;  60000000 ;0
240871000;6;Radio Tx;97152;  60000000 ;1
240871000;6;Radio Rx;59752848;  60000000 ;995
240871000;6;Radio total;59850000;  60000000 ;997
240963000;4;CPU;2073496;  60000000 ;34
240963000;4;LPM;57926504;  60000000 ;965
240963000;4;Deep LPM;0;  60000000 ;0
240963000;4;Radio Tx;763120;  60000000 ;12
240963000;4;Radio Rx;59086880;  60000000 ;984
240963000;4;Radio total;59850000;  60000000 ;997
240997000;2;CPU;2911160;  60000000 ;48
240997000;2;LPM;57088840;  60000000 ;951
240997000;2;Deep LPM;0;  60000000 ;0
240997000;2;Radio Tx;662032;  60000000 ;11
240997000;2;Radio Rx;59187968;  60000000 ;986
240997000;2;Radio total;59850000;  60000000 ;997
300024000;10;CPU;2799040;  60000000 ;46
300024000;10;LPM;57200960;  60000000 ;953
300024000;10;Deep LPM;0;  60000000 ;0
300024000;10;Radio Tx;137200;  60000000 ;2
300024000;10;Radio Rx;59862800;  60000000 ;997
300024000;10;Radio total;60000000;  60000000 ;1000
300132000;13;CPU;2025576;  60000000 ;33
300132000;13;LPM;57974424;  60000000 ;966
300132000;13;Deep LPM;0;  60000000 ;0
300132000;13;Radio Tx;562000;  60000000 ;9
300132000;13;Radio Rx;59438000;  60000000 ;990
300132000;13;Radio total;60000000;  60000000 ;1000
300256000;7;CPU;1151040;  60000000 ;19
300256000;7;LPM;58848960;  60000000 ;980
300256000;7;Deep LPM;0;  60000000 ;0
300256000;7;Radio Tx;302080;  60000000 ;5
300256000;7;Radio Rx;59697920;  60000000 ;994
300256000;7;Radio total;60000000;  60000000 ;1000
300409000;9;CPU;4086312;  60000000 ;68
300409000;9;LPM;55913688;  60000000 ;931
300409000;9;Deep LPM;0;  60000000 ;0
300409000;9;Radio Tx;1904856;  60000000 ;31
300409000;9;Radio Rx;58095144;  60000000 ;968
300409000;9;Radio total;60000000;  60000000 ;1000
300426000;11;CPU;2765520;  60000000 ;46
300426000;11;LPM;57234480;  60000000 ;953
300426000;11;Deep LPM;0;  60000000 ;0
300426000;11;Radio Tx;151608;  60000000 ;2
300426000;11;Radio Rx;59848392;  60000000 ;997
300426000;11;Radio total;60000000;  60000000 ;1000
300433000;3;CPU;1270576;  60000000 ;21
300433000;3;LPM;58729424;  60000000 ;978
300433000;3;Deep LPM;0;  60000000 ;0
300433000;3;Radio Tx;72424;  60000000 ;1
300433000;3;Radio Rx;59927576;  60000000 ;998
300433000;3;Radio total;60000000;  60000000 ;1000
300455000;1;CPU;2755152;  60000000 ;45
300455000;1;LPM;57244848;  60000000 ;954
300455000;1;Deep LPM;0;  60000000 ;0
300455000;1;Radio Tx;1304192;  60000000 ;21
300455000;1;Radio Rx;58545808;  60000000 ;975
300455000;1;Radio total;59850000;  60000000 ;997
300529000;5;CPU;911816;  60000000 ;15
300529000;5;LPM;59088184;  60000000 ;984
300529000;5;Deep LPM;0;  60000000 ;0
300529000;5;Radio Tx;276496;  60000000 ;4
300529000;5;Radio Rx;59723504;  60000000 ;995
300529000;5;Radio total;60000000;  60000000 ;1000
300599000;12;CPU;4205520;  60000000 ;70
300599000;12;LPM;55794480;  60000000 ;929
300599000;12;Deep LPM;0;  60000000 ;0
300599000;12;Radio Tx;1997712;  60000000 ;33
300599000;12;Radio Rx;57852288;  60000000 ;964
300599000;12;Radio total;59850000;  60000000 ;997
300871000;6;CPU;630728;  60000000 ;10
300871000;6;LPM;59369272;  60000000 ;989
300871000;6;Deep LPM;0;  60000000 ;0
300871000;6;Radio Tx;94192;  60000000 ;1
300871000;6;Radio Rx;59781888;  60000000 ;996
300871000;6;Radio total;59876080;  60000000 ;997
300963000;4;CPU;2021752;  60000000 ;33
300963000;4;LPM;57978248;  60000000 ;966
300963000;4;Deep LPM;0;  60000000 ;0
300963000;4;Radio Tx;735024;  60000000 ;12
300963000;4;Radio Rx;59264976;  60000000 ;987
300963000;4;Radio total;60000000;  60000000 ;1000
300997000;2;CPU;2885816;  60000000 ;48
300997000;2;LPM;57114184;  60000000 ;951
300997000;2;Deep LPM;0;  60000000 ;0
300997000;2;Radio Tx;654104;  60000000 ;10
300997000;2;Radio Rx;59195896;  60000000 ;986
300997000;2;Radio total;59850000;  60000000 ;997
360024000;10;CPU;2781456;  60000000 ;46
360024000;10;LPM;57218544;  60000000 ;953
360024000;10;Deep LPM;0;  60000000 ;0
360024000;10;Radio Tx;150904;  60000000 ;2
360024000;10;Radio Rx;59849096;  60000000 ;997
360024000;10;Radio total;60000000;  60000000 ;1000
360256000;7;CPU;1033960;  60000000 ;17
360256000;7;LPM;58966040;  60000000 ;982
360256000;7;Deep LPM;0;  60000000 ;0
360256000;7;Radio Tx;241040;  60000000 ;4
360256000;7;Radio Rx;59308960;  60000000 ;988
360256000;7;Radio total;59550000;  60000000 ;992
360426000;11;CPU;2692920;  60000000 ;44
360426000;11;LPM;57307080;  60000000 ;955
360426000;11;Deep LPM;0;  60000000 ;0
360426000;11;Radio Tx;132696;  60000000 ;2
360426000;11;Radio Rx;59867304;  60000000 ;997
360426000;11;Radio total;60000000;  60000000 ;1000
360433000;3;CPU;1228568;  60000000 ;20
360433000;3;LPM;58771432;  60000000 ;979
360433000;3;Deep LPM;0;  60000000 ;0
360433000;3;Radio Tx;63520;  60000000 ;1
360433000;3;Radio Rx;59786480;  60000000 ;996
360433000;3;Radio total;59850000;  60000000 ;997
360455000;1;CPU;2673720;  60000000 ;44
360455000;1;LPM;57326280;  60000000 ;955
360455000;1;Deep LPM;0;  60000000 ;0
360455000;1;Radio Tx;1263400;  60000000 ;21
360455000;1;Radio Rx;58436600;  60000000 ;973
360455000;1;Radio total;59700000;  60000000 ;995
360529000;5;CPU;885624;  60000000 ;14
