Time;MoteID;State;Value;TotalTicks;Permil
240529000;5;CPU;859048;  60000000 ;14
240529000;5;LPM;59140952;  60000000 ;985
240529000;5;Deep LPM;0;  60000000 ;0
240529000;5;Radio Tx;249248;  60000000 ;4
240529000;5;Radio Rx;59750752;  60000000 ;995
240529000;5;Radio total;60000000;  60000000 ;1000
240599000;12;CPU;3869376;  60000000 ;64
240599000;12;LPM;56130624;  60000000 ;935
240599000;12;Deep LPM;0;  60000000 ;0
240599000;12;Radio Tx;1801600;  60000000 ;30
240599000;12;Radio Rx;58198400;  60000000 ;969
240599000;12;Radio total;60000000;  60000000 ;1000
240871000;6;CPU;340816;  60000000 ;5
240871000;6;LPM;59659184;  60000000 ;994
240871000;6;Deep LPM;0;  60000000 ;0
240871000;6;Radio Tx;79136;  60000000 ;1
240871000;6;Radio Rx;56628344;  60000000 ;943
240871000;6;Radio total;56707480;  60000000 ;945
240963000;4;CPU;1927512;  60000000 ;32
240963000;4;LPM;58072488;  60000000 ;967
240963000;4;Deep LPM;0;  60000000 ;0
240963000;4;Radio Tx;687568;  60000000 ;11
240963000;4;Radio Rx;59312432;  60000000 ;988
240963000;4;Radio total;60000000;  60000000 ;1000
240997000;2;CPU;2769520;  60000000 ;46
240997000;2;LPM;57230480;  60000000 ;953
240997000;2;Deep LPM;0;  60000000 ;0
240997000;2;Radio Tx;607704;  60000000 ;10
240997000;2;Radio Rx;59392296;  60000000 ;989
240997000;2;Radio total;60000000;  60000000 ;1000
300024000;10;CPU;2747984;  60000000 ;45
300024000;10;LPM;57252016;  60000000 ;954
300024000;10;Deep LPM;0;  60000000 ;0
300024000;10;Radio Tx;130736;  60000000 ;2
300024000;10;Radio Rx;59869264;  60000000 ;997
300024000;10;Radio total;60000000;  60000000 ;1000
300132000;13;CPU;2003104;  60000000 ;33
300132000;13;LPM;57996896;  60000000 ;966
300132000;13;Deep LPM;0;  60000000 ;0
300132000;13;Radio Tx;510984;  60000000 ;8
300132000;13;Radio Rx;59489016;  60000000 ;991
300132000;13;Radio total;60000000;  60000000 ;1000
300256000;7;CPU;828824;  60000000 ;13
300256000;7;LPM;59171176;  60000000 ;986
300256000;7;Deep LPM;0;  60000000 ;0
300256000;7;Radio Tx;84184;  60000000 ;1
300256000;7;Radio Rx;59915816;  60000000 ;998
300256000;7;Radio total;60000000;  60000000 ;1000
300409000;9;CPU;4119784;  60000000 ;68
300409000;9;LPM;55880216;  60000000 ;931
300409000;9;Deep LPM;0;  60000000 ;0
300409000;9;Radio Tx;1938352;  60000000 ;32
300409000;9;Radio Rx;58061648;  60000000 ;967
300409000;9;Radio total;60000000;  60000000 ;1000
300426000;11;CPU;2769936;  60000000 ;46
300426000;11;LPM;57230064;  60000000 ;953
300426000;11;Deep LPM;0;  60000000 ;0
300426000;11;Radio Tx;143944;  60000000 ;2
300426000;11;Radio Rx;59856056;  60000000 ;997
300426000;11;Radio total;60000000;  60000000 ;1000
300433000;3;CPU;1502880;  60000000 ;25
300433000;3;LPM;58497120;  60000000 ;974
300433000;3;Deep LPM;0;  60000000 ;0
300433000;3;Radio Tx;251792;  60000000 ;4
300433000;3;Radio Rx;59748208;  60000000 ;995
300433000;3;Radio total;60000000;  60000000 ;1000
300455000;1;CPU;2683936;  60000000 ;44
300455000;1;LPM;57316064;  60000000 ;955
300455000;1;Deep LPM;0;  60000000 ;0
300455000;1;Radio Tx;1266336;  60000000 ;21
300455000;1;Radio Rx;58733664;  60000000 ;978
300455000;1;Radio total;60000000;  60000000 ;1000
300529000;5;CPU;842176;  60000000 ;14
300529000;5;LPM;59157824;  60000000 ;985
300529000;5;Deep LPM;0;  60000000 ;0
300529000;5;Radio Tx;229264;  60000000 ;3
300529000;5;Radio Rx;59770736;  60000000 ;996
300529000;5;Radio total;60000000;  60000000 ;1000
300599000;12;CPU;4094856;  60000000 ;68
300599000;12;LPM;55905144;  60000000 ;931
300599000;12;Deep LPM;0;  60000000 ;0
300599000;12;Radio Tx;1917720;  60000000 ;31
300599000;12;Radio Rx;58082280;  60000000 ;968
300599000;12;Radio total;60000000;  60000000 ;1000
300871000;6;CPU;422984;  60000000 ;7
300871000;6;LPM;59577016;  60000000 ;992
300871000;6;Deep LPM;0;  60000000 ;0
300871000;6;Radio Tx;119296;  60000000 ;1
300871000;6;Radio Rx;59023712;  60000000 ;983
300871000;6;Radio total;59143008;  60000000 ;985
300963000;4;CPU;2118976;  60000000 ;35
300963000;4;LPM;57881024;  60000000 ;964
300963000;4;Deep LPM;0;  60000000 ;0
300963000;4;Radio Tx;766248;  60000000 ;12
300963000;4;Radio Rx;59233752;  60000000 ;987
300963000;4;Radio total;60000000;  60000000 ;1000
300997000;2;CPU;2926672;  60000000 ;48
300997000;2;LPM;57073328;  60000000 ;951
300997000;2;Deep LPM;0;  60000000 ;0
300997000;2;Radio Tx;636800;  60000000 ;10
