Time;MoteID;State;Value;TotalTicks;Permil
240383000;5;Energest  ] Deep LPM;0;  60000000 ;0
240383000;5;Energest  ] Radio Tx;783944;  60000000 ;13
240383000;5;Energest  ] Radio Rx;56174056;  60000000 ;936
240383000;5;Energest  ] Radio total;56958000;  60000000 ;949
240390000;7;Energest  ] CPU;1497848;  60000000 ;24
240390000;7;Energest  ] LPM;58502152;  60000000 ;975
240390000;7;Energest  ] Deep LPM;0;  60000000 ;0
240390000;7;Energest  ] Radio Tx;708184;  60000000 ;11
240390000;7;Energest  ] Radio Rx;58691816;  60000000 ;978
240390000;7;Energest  ] Radio total;59400000;  60000000 ;990
240527000;3;Energest  ] CPU;473520;  60000000 ;7
240527000;3;Energest  ] LPM;59526480;  60000000 ;992
240527000;3;Energest  ] Deep LPM;0;  60000000 ;0
240527000;3;Energest  ] Radio Tx;59368;  60000000 ;0
240527000;3;Energest  ] Radio Rx;57690632;  60000000 ;961
240527000;3;Energest  ] Radio total;57750000;  60000000 ;962
240576000;6;Energest  ] CPU;792736;  60000000 ;13
240576000;6;Energest  ] LPM;59207264;  60000000 ;986
240576000;6;Energest  ] Deep LPM;0;  60000000 ;0
240576000;6;Energest  ] Radio Tx;162008;  60000000 ;2
240576000;6;Energest  ] Radio Rx;56781912;  60000000 ;946
240576000;6;Energest  ] Radio total;56943920;  60000000 ;949
240739000;2;Energest  ] CPU;187680;  60000000 ;3
240739000;2;Energest  ] LPM;59812320;  60000000 ;996
240739000;2;Energest  ] Deep LPM;0;  60000000 ;0
240739000;2;Energest  ] Radio Tx;103280;  60000000 ;1
240739000;2;Energest  ] Radio Rx;45065840;  60000000 ;751
240739000;2;Energest  ] Radio total;45169120;  60000000 ;752
240858000;4;Energest  ] CPU;592168;  60000000 ;9
240858000;4;Energest  ] LPM;59407832;  60000000 ;990
240858000;4;Energest  ] Deep LPM;0;  60000000 ;0
240858000;4;Energest  ] Radio Tx;229560;  60000000 ;3
240858000;4;Energest  ] Radio Rx;56020440;  60000000 ;933
240858000;4;Energest  ] Radio total;56250000;  60000000 ;937
300262000;1;Energest  ] CPU;862528;  60000000 ;14
300262000;1;Energest  ] LPM;59137472;  60000000 ;985
300262000;1;Energest  ] Deep LPM;0;  60000000 ;0
300262000;1;Energest  ] Radio Tx;399520;  60000000 ;6
300262000;1;Energest  ] Radio Rx;55850480;  60000000 ;930
300262000;1;Energest  ] Radio total;56250000;  60000000 ;937
300383000;5;Energest  ] CPU;1558264;  60000000 ;25
300383000;5;Energest  ] LPM;58441736;  60000000 ;974
300383000;5;Energest  ] Deep LPM;0;  60000000 ;0
300383000;5;Energest  ] Radio Tx;803528;  60000000 ;13
300383000;5;Energest  ] Radio Rx;53388472;  60000000 ;889
300383000;5;Energest  ] Radio total;54192000;  60000000 ;903
300390000;7;Energest  ] CPU;1434872;  60000000 ;23
300390000;7;Energest  ] LPM;58565128;  60000000 ;976
300390000;7;Energest  ] Deep LPM;0;  60000000 ;0
300390000;7;Energest  ] Radio Tx;683904;  60000000 ;11
300390000;7;Energest  ] Radio Rx;55716096;  60000000 ;928
300390000;7;Energest  ] Radio total;56400000;  60000000 ;940
300527000;3;Energest  ] CPU;542464;  60000000 ;9
300527000;3;Energest  ] LPM;59457536;  60000000 ;990
300527000;3;Energest  ] Deep LPM;0;  60000000 ;0
300527000;3;Energest  ] Radio Tx;100216;  60000000 ;1
300527000;3;Energest  ] Radio Rx;55728768;  60000000 ;928
300527000;3;Energest  ] Radio total;55828984;  60000000 ;930
300576000;6;Energest  ] CPU;685736;  60000000 ;11
300576000;6;Energest  ] LPM;59314264;  60000000 ;988
300576000;6;Energest  ] Deep LPM;0;  60000000 ;0
300576000;6;Energest  ] Radio Tx;91584;  60000000 ;1
300576000;6;Energest  ] Radio Rx;54231216;  60000000 ;903
300576000;6;Energest  ] Radio total;54322800;  60000000 ;905
300739000;2;Energest  ] CPU;167976;  60000000 ;2
300739000;2;Energest  ] LPM;59832024;  60000000 ;997
300739000;2;Energest  ] Deep LPM;0;  60000000 ;0
300739000;2;Energest  ] Radio Tx;80344;  60000000 ;1
300739000;2;Energest  ] Radio Rx;51248824;  60000000 ;854
300739000;2;Energest  ] Radio total;51329168;  60000000 ;855
300858000;4;Energest  ] CPU;630240;  60000000 ;10
300858000;4;Energest  ] LPM;59369760;  60000000 ;989
300858000;4;Energest  ] Deep LPM;0;  60000000 ;0
300858000;4;Energest  ] Radio Tx;253784;  60000000 ;4
300858000;4;Energest  ] Radio Rx;52996216;  60000000 ;883
300858000;4;Energest  ] Radio total;53250000;  60000000 ;887
360262000;1;Energest  ] CPU;902424;  60000000 ;15
360262000;1;Energest  ] LPM;59097576;  60000000 ;984
360262000;1;Energest  ] Deep LPM;0;  60000000 ;0
360262000;1;Energest  ] Radio Tx;416032;  60000000 ;6
360262000;1;Energest  ] Radio Rx;58383968;  60000000 ;973
360262000;1;Energest  ] Radio total;58800000;  60000000 ;980
360383000;5;Energest  ] CPU;1603496;  60000000 ;26
360383000;5;Energest  ] LPM;58396504;  60000000 ;973
360383000;5;Energest  ] Deep LPM;0;  60000000 ;0
360383000;5;Energest  ] Radio Tx;827800;  60000000 ;13
360383000;5;Energest  ] Radio Rx;55572200;  60000000 ;926
360383000;5;Energest  ] Radio total;56400000;  60000000 ;940
360390000;7;Energest  ] CPU;1464264;  60000000 ;24
360390000;7;Energest  ] LPM;58535736;  60000000 ;975
