Time;MoteID;State;Value;TotalTicks;Permil
300433000;3;Radio total;59850000;  60000000 ;997
300455000;1;CPU;2631168;  60000000 ;43
300455000;1;LPM;57368832;  60000000 ;956
300455000;1;Deep LPM;0;  60000000 ;0
300455000;1;Radio Tx;1267112;  60000000 ;21
300455000;1;Radio Rx;58582888;  60000000 ;976
300455000;1;Radio total;59850000;  60000000 ;997
300529000;5;CPU;769744;  60000000 ;12
300529000;5;LPM;59230256;  60000000 ;987
300529000;5;Deep LPM;0;  60000000 ;0
300529000;5;Radio Tx;215272;  60000000 ;3
300529000;5;Radio Rx;59634728;  60000000 ;993
300529000;5;Radio total;59850000;  60000000 ;997
300599000;12;CPU;3635664;  59994600 ;60
300599000;12;LPM;56358936;  59994600 ;939
300599000;12;Deep LPM;0;  59994600 ;0
300599000;12;Radio Tx;1693872;  59994600 ;28
300599000;12;Radio Rx;58150728;  59994600 ;969
300599000;12;Radio total;59844600;  59994600 ;997
300871000;6;CPU;575888;  60000000 ;9
300871000;6;LPM;59424112;  60000000 ;990
300871000;6;Deep LPM;0;  60000000 ;0
300871000;6;Radio Tx;67008;  60000000 ;1
300871000;6;Radio Rx;59782992;  60000000 ;996
300871000;6;Radio total;59850000;  60000000 ;997
300963000;4;CPU;1872776;  60000000 ;31
300963000;4;LPM;58127224;  60000000 ;968
300963000;4;Deep LPM;0;  60000000 ;0
300963000;4;Radio Tx;623904;  60000000 ;10
300963000;4;Radio Rx;59226096;  60000000 ;987
300963000;4;Radio total;59850000;  60000000 ;997
300997000;2;CPU;2641448;  60000000 ;44
300997000;2;LPM;57358552;  60000000 ;955
300997000;2;Deep LPM;0;  60000000 ;0
300997000;2;Radio Tx;565336;  60000000 ;9
300997000;2;Radio Rx;59284664;  60000000 ;988
300997000;2;Radio total;59850000;  60000000 ;997
360426000;11;CPU;5386248;  60000000 ;89
360426000;11;LPM;54613752;  60000000 ;910
360426000;11;Deep LPM;0;  60000000 ;0
360426000;11;Radio Tx;3237800;  60000000 ;53
360426000;11;Radio Rx;52440208;  60000000 ;874
360426000;11;Radio total;55678008;  60000000 ;927
360455000;1;CPU;2743232;  60000000 ;45
360455000;1;LPM;57256768;  60000000 ;954
360455000;1;Deep LPM;0;  60000000 ;0
360455000;1;Radio Tx;1312784;  60000000 ;21
360455000;1;Radio Rx;57487216;  60000000 ;958
360455000;1;Radio total;58800000;  60000000 ;980
420024000;10;CPU;2156232;  60000000 ;35
420024000;10;LPM;57843768;  60000000 ;964
420024000;10;Deep LPM;0;  60000000 ;0
420024000;10;Radio Tx;66888;  60000000 ;1
420024000;10;Radio Rx;59794392;  60000000 ;996
420024000;10;Radio total;59861280;  60000000 ;997
420132000;13;CPU;1890472;  60000000 ;31
420132000;13;LPM;58109528;  60000000 ;968
420132000;13;Deep LPM;0;  60000000 ;0
420132000;13;Radio Tx;556104;  60000000 ;9
420132000;13;Radio Rx;59293896;  60000000 ;988
420132000;13;Radio total;59850000;  60000000 ;997
